acronym,full,type
4D QL,4D Query Language,Database
ACL,Access Control List,IT Security
ADFS,Active Directory Federation Service,Server/IT Infrastructure
AES,Advanced Encryption System,IT Security
AFAIK,As far as I Know,Network/Internet
AI,Artificial Intelligence,AI
ALU,Arithmetic Logic Units,Server/IT Infrastructure
AMA,Ask Me Anything,Blogging/SEO
Amazon EBS,Amazon Elastic Block Store,Cloud Computing
Amazon ECR,Amazon Elastic Container Registry,Cloud Computing
Amazon ES,Amazon Elasticsearch Service,Cloud Computing
Amazon MSK,Amazon Managed Streaming for Apache Kafka,Cloud Computing
Amazon QLDB,Amazon Quantum Ledger Database,Cloud Computing
Amazon SES,Amazon Simple Email System,Cloud Computing
AMI,Amazon Machine Image,Cloud Computing
ANN,Artificial Neural Network,AI
AP,Access Point,Network/Internet
API,Application Programming Interface,Development
ARN,Amazon Resource Name,Cloud Computing
ASCII,American Standard Code for Information Interchange,Development
ASG,Auto Scaling Group,Cloud Computing
ASN,Autonomous System Number,Network/Internet
AU,Activation Unit,Server/IT Infrastructure
AVX,Advanced Vector Extensions,Server/IT Infrastructure
AWS,Amazon Web Services,Cloud Computing
AZ,Availability Zone,Cloud Computing
B2B,Business to Business,Blogging/SEO
B2C,Business to Consumer,Blogging/SEO
BGP,Border Gateway Protocol,Network/Internet
BI,Business Intelligence,Server/IT Infrastructure
BIOS,Basic Input Output System,Server/IT Infrastructure
BPO,Business Process Outsourcing,Server/IT Infrastructure
BYOD,Bring Your Own Device,Server/IT Infrastructure
CAN-SPAM,Controlling the Assault of Non-Solicited Pornography and Marketing Act,Network/Internet
CBSP,Cloud-based Security Providers,IT Security
CDN,Content Delivery Network,Network/Internet
CI/CD,Continous Integration/Continous Deployment,Server/IT Infrastructure
CIDR,Classless Inter-Domain Routing,Network/Internet
CLI,Command Line Interface,Server/IT Infrastructure
CMS,Content Management System,Blogging/SEO
CNAME,Canonical Name,Network/Internet
CNN,Convolutional Neural Network,AI
CORS,Cross-Origin Resource Sharing,IT Security
CPC,Cost Per Click,Blogging/SEO
CPL,Cost Per Lead,Blogging/SEO
CPM,Cost Per Thousand Impressions,Blogging/SEO
CR,Conversion Rate,Blogging/SEO
CRM,Customer Relationship Management,Blogging/SEO
CRO,Conversion Rate Optimization,Blogging/SEO
CSP,Content Security Policy,IT Security
CSRF,Cross-Site Request Forgery,IT Security
CSS,Cascading Style Sheets,Development
CTA,Call to Action,Blogging/SEO
CTC,Connectionist Temporal Classification,AI
CTR,Click Through Rate,Blogging/SEO
CTS,Click-Through Rate,Blogging/SEO
CV,Computer Vision,AI
CVSS,Common Vulnerability Scoring System,IT Security
CWE,Common Weakness Enumeration,IT Security
CX,Customer Experience,Blogging/SEO
D2D,Device to Device,Network/Internet
DA,Domain Authority,Blogging/SEO
DaaS,Desktop-as-a-Service,Server/IT Infrastructure
DAST,Dynamic Application Security Testing,IT Security
DC,Data Center,Server/IT Infrastructure
DDL,Data Definition Language,Database
DDoS,Distributed Denial Of Services,IT Security
DES,Data Encryption Standard,IT Security
DHCP,Dynamic Host Configuration Protocol,Network/Internet
DKIM,Domain Keys Identified Mail,IT Security
DM,Direct Message,Network/Internet
DMARC,Domain-based Message Authentication Reporting and Conformance,IT Security
DMCA,Digital Millennium Copyright Act,Blogging/SEO
DML,Data Manipulation Language,Database
DMS,Database Migration Service,Database
DNS,Domain Name System,Network/Internet
DNSSEC,Domain Name System Security Extensions,IT Security
DOM,Document Object Model,Network/Internet
DOS,Denial of Services,IT Security
DQL,Data Query Language,Database
DRDA,Distributed Relational Database Architecture,Database
DRS,Distributed Resource Scheduler,Server/IT Infrastructure
DSA,Digital Signature Algorithm,IT Security
DSBS,Dual Sensor Brake Support,AI
DT,Directory Traversal,IT Security
DVD,Digital Versatile Disc,Server/IT Infrastructure
DW,Data Warehouse,Server/IT Infrastructure
EBS,Elastic Block Store,Cloud Computing
EC2,Elastic Compute Cloud,Cloud Computing
ECS,EC2 Container Service,Cloud Computing
EFS,Elastic File System,Cloud Computing
EIP,Elastic IP,Cloud Computing
ELB,Elastic Load Balancer,Cloud Computing
EMR,Elastic Map Reduce,Cloud Computing
ENI,Elastic Network Interface,Cloud Computing
EOF,End Of File,Development
EOL,End Of Life,Development
ERP,Enterprise Resource Planning,Server/IT Infrastructure
ESX,Elastic Sky X,Server/IT Infrastructure
FaaS,Function as-a-Service,Cloud Computing
FB,Facebook,Network/Internet
FIFO,First In First Out,Development
FOMO,Fear of Missing Out,Blogging/SEO
FOSS,Free and open-source software,Server/IT Infrastructure
FSx,File systems,Cloud Computing
FTP,File Transfer Protocol,Network/Internet
FUD,Fully Undetectable,IT Security
GA,Google Analytics,Blogging/SEO
GCLB,Google Cloud Load Balancer,Cloud Computing
GCP,Google Cloud Platform,Cloud Computing
